NO,Review,Emotion
1,"This product was poorly made and didn't fit tightly enough to actually strain anything - everything just poured out no matter how I tried to use it. I returned it immediately. However, what bothers me the most about this product is the constant barrage of emails from the seller, asking me for reviews. I initially wasn't going to leave a bad review, and just quietly return the faulty product. But they just kept messaging me over and over again even after I asked them to stop.So here it is: The strainer doesn't work and the seller is annoying and harasses the customer. Maybe now they'll stop sending me emails.",Fear
2,Beware only four large kids are vented!!! Pictures and descriptions are not accurate with regards to all size lids being vented. These take forever to dry whether washed by hands or in dishwasher. I would have passed on this set if I had known all the lids were not vented. This is deceptive advertising and amazon needs to rectify the picture showing all size lids are vented as well as the description. Other reviewers have noted similar misleading info on which lids are vented.,Angry
3,Picture is deceiving. Biggest container is much smaller that it looks. Disappointing. I’ll be returning these. Need big containers as well as small ones. This won’t do.,Angry
4,Lovely product,Happy
5,"I have terrible arthritis in my hands. I love Kitchenaid! I show a picture of my fingers, why I need a scissors with bigger openings for my fingers. A great product for arthritic hands and great quality. Highly recommend!",Happy
6,"I've had great experiences with KitchenAid products in the past, but I was really disappointed with the workmanship of these scissors. The blades stayed pretty sharp for the most part, BUT the screw that holds the blades together came loose within the first 6 months I had them! I first re-tightened the screw by hand, thinking it was just a fluke or something, but every. single. time. I use them to cut something (meat, salad greens, you name it), the screw comes loose. We tried tightening the screw with tools the next few times, but it will not stay tight. (This is particularly bad because the blades need to be flush against each other to cut effectively -- when the screw gets loosed, the blades are wiggly and cut like that bad pair of scissors that can't cut straight...). I'm super disappointed :(",Sad
7,"""dishwasher safe""... er... no... rusted after 1 wash... literally rust spots everywhere. They are sharp but the fact they rusted the same day I opened the package is unforgivable. Returning!!!",Fear
8,I had to return them immediately cause the size of the boxes were too small - they shoulhd have given a size idea in the product details.,Fear
9,"I love these cups, the lids snap on so quickly and securely with one hand! I made jello shots with them & they're perfect to stack ontop of each other to set in the fridge - saves a ton of space. I was worried about the mess / hassle (that I made with different cups & I had 2 helpers), this time - it was only me. And, it was so much easier (even though I didn't have any help - I was shocked)! I will buy these again and recommend everyone does as well.",Happy
10,I'm so happy that I got these. Seller communicates quickly when asked a question about it. Yes they are freezable. This product will help me with my portion sizes after my gastric bypass surgery.,Happy
11,"These cups were perfect. They are thicker than I expected and seem to thicker than the 2oz size. In attempt to respect the public health recommendations for serving food products during COVID, I used the cups to provide individual portions of mustard and butter (the 2oz size).",Happy
12,"It is ok to mopping floor, it is cheap and it looks cheap too. The mopping head is smaller than what I thought, the handle is thin and light. In short won’t buy this mopping kit again. You can add a bit more money to get a better product I believe",Angry
13,Fácil de usar y de cambiar los repuestos,Happy
14,"I ordered one and it was defective. Got the replacement and it was defective, also. After going to all the trouble of unpacking and setting both of these up and finding that neither works, I am not a happy person. Will never order anything like this from Amazon again. I should have bought it at Walmart.",Sad
15,Rubbish used correct converter to UK after couple minutes cable start to smoke & melt dAngryous beware UK buyers,Angry
16,Perfect for my son to use to reach the sink when brushing his teeth and wash his hands. He is 18 months.,Happy
17,"Unfortunately you cannot separate these towels. The preforation is very light and since it’s post consumer paper, it’s pretty flimsy. I’ve never been able to grab a full square it just shreds in your hand. Even he try to hold it I’ve never been able to tear it at the preforation and I pulled like 30 of these so far. Just my observation.",Sad
18,"I had forgotten how bad these paper towels are. The sheets don't rip cleanly, and I find myself using 3-4 of these paper towels to do the job of one section of the ""choose a size"" paper towels by Brawny, Bounty or even Great Value brand. Skip them, you're doing no favors for the environment because you have to use so many of them. And...they leave LINT on everything you wipe down with them. Hard pass.",Angry
19,"Great mixer, I used to have the same one but had to get rid of it because of moving. Very simple and powerful, doesn’t take space in my kitchen.",Happy
20,Don't use this for extreme temperatures as it will shatter. People have been severely injured by using this. Pyrex has destroyed their brand by using the same name for their lab grade borosilicate and this normal glassware.,Angry
21,"Bought these about nine months ago. Have washed them in the dishwasher once or twice a week since then. Kept them in a cupboard. The markings have washed off the one- and two-cup measures, so they're now useless. These cups are not dishwasher-safe, though they're advertised as such.",Angry
22,"Nothing beats a classic pyrex measuring cup for cooking and baking. I love that this has both metric and imperial measurements, so I can use recipes from all over the world.",Happy
